 
WHIST-20260527.00,Jeux,Donneur,Annonces de la partie [WHIST-20260527],Points,JiPé,JiJi,Robi,José,Francis,JMarc
WHIST-20260527.01,1,Robi,EMBALLAGE 11-1 (JiJi+JMarc),-16,0,-16,0,16,16,-16
WHIST-20260527.02,2,Robi,EMBALLAGE 8-2 ( Francis + JMarc ),-8,0,2,0,2,10,-14
WHIST-20260527.03,3,Robi,P-Schlem Perdu ( JMarc ),-120,0,42,0,42,50,-134
WHIST-20260527.04,4,JiJi,EMBALLAGE 10+2 ( José + Francis ),8,0,42,-8,50,58,-142
WHIST-20260527.05,5,Francis,Seul 8-2 ( José ),-18,0,48,-2,32,58,-136
WHIST-20260527.06,6,Francis,EMBALLAGE 10-1 ( JiJi + JMarc ),-12,0,36,10,44,58,-148
WHIST-20260527.07,7,JMarc,Seul 8-1 ( José ),-15,0,41,15,29,63,-148
WHIST-20260527.08,8,Francis,Trou-8 Double ( JiJi + Robi ),12,0,53,27,17,63,-160
WHIST-20260527.09,9,JMarc,Seul 6-2 ( Francis ),-12,0,57,31,21,51,-160
WHIST-20260527.10,10,Francis,EMBALLAGE 9+3 ( JiJi + José ),8,0,65,23,29,51,-168
WHIST-20260527.11,11,JMarc,Trou-8 Perdu ( José + Francis ),-24,0,89,47,5,27,-168
WHIST-20260527.12,12,Francis,EMBALLAGE 9+2 ( José + JMarc ),7,0,82,40,12,27,-161
WHIST-20260527.13,13,Francis,1-GM/Trou Gagnee ( JiJi ),36,0,118,28,0,27,-173
WHIST-20260527.14,14,Robi,EMBALLAGE 9-1 ( JiJi + JMarc ),-8,0,110,28,8,35,-181
WHIST-20260527.15,15,Robi,EMBALLAGE Double ( JiJi + JMarc ),12,0,122,28,-4,23,-169
WHIST-20260527.16,16,José,1-G.Misere Gagnee ( Francis ),24,0,114,20,-4,47,-177
WHIST-20260527.17,17,José,8 sur P.Misere Gagne ( Francis ),15,0,109,15,-4,62,-182
WHIST-20260527.18,18,José,Seul 8-1 ( Francis ),-15,0,114,20,-4,47,-177
WHIST-20260527.19,19,Robi,EMBALLAGE 11-1 ( JiJi + JMarc ),-16,0,98,20,12,63,-193
WHIST-20260527.20,20,Robi,EMBALLAGE Double ( JiJi + JMarc ),12,0,110,20,0,51,-181
WHIST-20260527.21,21,Robi,EMBALLAGE 9 ( JiJi + JMarc ),5,0,115,20,-5,46,-176
WHIST-20260527.22,22,Robi,EMBALLAGE 8+4 ( JiJi + JMarc ),8,0,123,20,-13,38,-168
WHIST-20260527.23,23,José,EMBALLAGE 12-1 ( Francis + JMarc ),-18,0,141,38,-13,20,-186
WHIST-20260527.24,24,JiJi,Trou-8 8 ( Robi + Francis ),8,0,141,46,-21,28,-194
WHIST-20260527.25,25,JiJi,Trou-8 8 ( Robi + Francis ),8,0,141,54,-29,36,-202
WHIST-20260527.26,26,JiJi,Trou-8 Double ( Robi + Francis ),12,0,141,66,-41,48,-214
WHIST-20260527.27,27,JMarc,EMBALLAGE 11+1 ( Robi + Francis ),8,0,133,74,-49,56,-214
WHIST-20260527.28,28,JMarc,EMBALLAGE 10 ( Robi + Francis ),6,0,127,80,-55,62,-214
WHIST-20260527.29,29,José,G-Schlem Gagne ( JMarc ),240,0,47,0,-55,-18,26
WHIST-20260527.30,30,José,1-P.Misere Gagnee ( JMarc ),12,0,43,-4,-55,-22,38
WHIST-20260527.31,31,José,EMBALLAGE 8-3 ( JiJi + JMarc ),-12,0,31,8,-55,-10,26
WHIST-20260527.32,32,José,EMBALLAGE Double ( JiJi + JMarc ),12,0,43,-4,-55,-22,38
WHIST-20260527.33,33,Robi,1-G.Misere Perdue ( JMarc ),-48,0,59,-4,-39,-6,-10
WHIST-20260527.34,34,JiJi,EMBALLAGE 8+4 ( Robi + Francis ),8,0,59,4,-47,2,-18
WHIST-20260527.35,35,JiJi,EMBALLAGE 8 ( Robi + Francis ),4,0,59,8,-51,6,-22
WHIST-20260527.36,36,Francis,Petit Schlem Perdu (JMarc),-120,0,99,48,-11,6,-142
WHIST-20260527.37,37,JMarc,Seul 6-1 (Francis),-9,0,102,51,-8,-3,-142
WHIST-20260527.38,38,JMarc,Seul 6-1 (Francis),-9,0,105,54,-5,-12,-142
WHIST-20260527.39,39,JMarc,EMBALLAGE 8-2 (JiJi+José),-8,0,97,62,-13,-4,-142
WHIST-20260527.40,40,JMarc,EMBALLAGE 8-2 (JiJi+José),-8,0,89,70,-21,4,-142
WHIST-20260527.41,41,JMarc,EMBALLAGE 8-2 (JiJi+José),-8,0,81,78,-29,12,-142
WHIST-20260527.42,42,Robi,EMBALLAGE Double (JiJi+JMarc),12,0,93,78,-41,0,-130
WHIST-20260527.43,43,JMarc,1-P.Misere Gagnee (José),12,0,89,74,-29,-4,-130
WHIST-20260527.44,44,JiJi,EMBALLAGE 8-4 (José+JMarc),-16,0,89,90,-45,12,-146
WHIST-20260527.45,45,Francis,Seul 6+1 (Robi),9,0,86,99,-48,12,-149
WHIST-20260527.46,46,JMarc,Abondance-9 Gagnee (JiJi),18,0,104,93,-54,6,-149
WHIST-20260527.47,47,JMarc,8 sur P.Misere Perdu (Francis),-30,0,114,103,-44,-24,-149
WHIST-20260527.48,48,Francis,1-P.Misere Gagnee (JiJi),12,0,126,99,-48,-24,-153
WHIST-20260527.49,49,Robi,EMBALLAGE 12-1 (José+JMarc),-18,0,144,99,-66,-6,-171
WHIST-20260527.50,50,Robi,EMBALLAGE 12-1 (José+JMarc),-18,0,162,99,-84,12,-189
WHIST-20260527.51,51,JiJi,[48] Seul 6-1 (José),-9,0,162,102,-93,15,-186,48
WHIST-20260622.00,Jeux,Donneur,Annonces de la partie [WHIST-20260622],Points,JiPé,JiJi,Robi,José,Francis,JMarc,C-Jeu
WHIST-20260622.01,1,Francis,[40] Trou-8 Perdu (Robi+JMarc),-24,0,24,-24,24,0,-24,40
WHIST-20260622.02,2,JiJi,[43] 2-GM/Trou Perdues (Robi+José),-96,0,24,-120,-72,96,72,43
WHIST-20260622.03,3,JiJi,[5] EMBALLAGE 8+4 (José+JMarc),8,0,24,-128,-64,88,80,5
WHIST-20260622.04,4,José,[45] Seul 6 (Robi),6,0,22,-122,-64,86,78,45
WHIST-20260622.05,5,José,[13] EMBALLAGE 11 (JiJi+Francis),7,0,29,-129,-64,93,71,13
WHIST-20260622.06,6,Francis,[69] Abondance-11 Perdue (JMarc),-60,0,49,-109,-44,93,11,69
WHIST-20260622.07,7,José,[67] Abondance-9 Perdue (Francis),-36,0,61,-97,-44,57,23,67
WHIST-20260622.08,8,JiJi,[54] Seul 8 (Francis),12,0,61,-101,-48,69,19,54
WHIST-20260622.09,9,José,[25] EMBALLAGE 10-2 (Francis+JMarc),-16,0,77,-85,-48,53,3,25
WHIST-20260622.10,10,Robi,[39] Trou-9 Double (José+JMarc),12,0,65,-85,-36,41,15,39
WHIST-20260622.11,11,José,[61] 1-G.Misere Gagnee (JiJi),24,0,89,-93,-36,33,7,61
WHIST-20260622.12,12,Robi,[23] EMBALLAGE 9-3 (JiJi+Francis),-16,0,73,-93,-20,17,23,23
WHIST-20260622.13,13,Francis,[1] EMBALLAGE 8 (JiJi+JMarc),4,0,77,-97,-24,17,27,1
WHIST-20260622.14,14,José,[47] Seul 6+2 (Robi),12,0,73,-85,-24,13,23,47
WHIST-20260625.00,Jeux,Donneur,Annonces de la partie [WHIST-20260625],Points,JiPé,JiJi,Robi,José,Francis,JMarc,C-Jeu
WHIST-20260625.01,1,JiJi,[62] 1-G.Misere Perdue (Francis),-48,0,0,16,16,-48,16,34
WHIST-20260625.02,2,José,[3] EMBALLAGE 8+2 (Robi+Francis),6,0,-6,22,16,-42,10,3
WHIST-20260625.03,3,JMarc,[61] 1-G.Misere Gagnee (Francis),24,0,-14,14,8,-18,10,61
WHIST-20260625.04,4,Robi,[53] Seul 7-2 (José),-12,0,-10,14,-4,-14,14,53
WHIST-20260625.05,5,Francis,[25] EMBALLAGE 10-2 (Robi+JMarc),-16,0,6,-2,12,-14,-2,25
WHIST-20260625.06,6,Robi,[60] 1-P.Misere Perdue (Francis),-24,0,14,-2,20,-38,6,60
WHIST-20260625.07,7,José,[59] 1-P.Misere Gagnee (Robi),12,0,10,10,20,-42,2,59
WHIST-20260625.08,8,JMarc,[60] 1-P.Misere Perdue (Francis),-24,0,18,18,28,-66,2,60
WHIST-20260625.09,9,Robi,[22] EMBALLAGE 9-2 (JiJi+José),-12,0,6,18,16,-54,14,22
WHIST-20260625.10,10,JMarc,[69] Abondance-11 Perdue (JiJi),-60,0,-54,38,36,-34,14,69
WHIST-20260625.11,11,JMarc,[56] Seul 8-2 (Robi),-18,0,-48,20,42,-28,14,56
WHIST-20260625.12,12,José,[23] EMBALLAGE 9-3 (Robi+JMarc),-16,0,-32,4,42,-12,-2,23
WHIST-20260625.13,13,Robi,[65] Abondance-11 Gagnee (JMarc),30,0,-42,4,32,-22,28,65
WHIST-20260625.14,14,Francis,[28] EMBALLAGE 11-2 (JiJi+José),-18,0,-60,22,14,-22,46,28
WHIST-20260625.15,15,Robi,[32] 2-P.Miseres ½ OK (José+Francis) (WIN:5-Francis),-24,0,-56,22,-14,-2,50,32
WHIST-20260625.16,16,José,[17] EMBALLAGE 8-1 (JiJi+Francis),-4,0,-60,26,-14,-6,54,17
WHIST-20260625.17,17,José,[26] EMBALLAGE 10-3 (Robi+Francis),-18,0,-42,8,-14,-24,72,26
WHIST-20260625.18,18,Francis,[38] Trou-9 9 (JiJi+JMarc),8,0,-34,0,-22,-24,80,38
WHIST-20260625.19,19,JiJi,[47] Seul 6+2 (JMarc),12,0,-34,-4,-26,-28,92,47
WHIST-20260625.20,20,José,[51] Seul 7+1 (JiJi),12,0,-22,-8,-26,-32,88,51
WHIST-20260625.21,21,JMarc,[57] 8 sur P.Misere Gagne (JiJi),15,0,-7,-13,-31,-37,88,57
WHIST-20260625.22,22,Robi,[57] 8 sur P.Misere Gagne (JMarc),15,0,-12,-13,-36,-42,103,57
WHIST-20260625.23,23,JiJi,[2] EMBALLAGE 8+1 (Robi+José),5,0,-12,-8,-31,-47,98,2
WHIST-20260625.24,24,José,[51] Seul 7+1 (Francis),12,0,-16,-12,-31,-35,94,51
WHIST-20260625.25,25,JiJi,[24] EMBALLAGE 10-1 (Francis+JMarc),-12,0,-16,0,-19,-47,82,24
WHIST-20260629.00,Jeux,Donneur,Annonces de la partie [WHIST-20260629],Points,JiPé,JiJi,Robi,José,Francis,JMarc,C-Jeu
WHIST-20260629.01,1,José,[62] 1-G.Misere Perdue (JMarc),-48,0,16,16,0,16,-48,62
WHIST-20260629.02,2,Francis,[73] P-Schlem Perdu (JiJi),-120,0,-104,56,40,16,-8,73
WHIST-20260629.03,3,José,[22] EMBALLAGE 9-2 (JiJi+JMarc),-12,0,-116,68,40,28,-20,22
WHIST-20260629.04,4,Francis,[57] 8 sur P.Misere Gagne (Robi),15,0,-121,83,35,28,-25,57
